movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole,length(um)
CDCssbGFPmcherry01_102_2,1,-1,3,37,453,488,37,449,472,37,449,472,37,449,472,37,0,0,2,16.4924225,1.764238243
CDCssbGFPmcherry01_102_2,1,-1,3,40,481.5,563.5,40,466.5,553,40,466.5,553,40,466.5,553,40,0,0,2,18.30983342,1.958651516
CDCssbGFPmcherry01_102_2,1,-1,3,43,459,585,43,467,567.5,43,467,567.5,43,467,567.5,43,0,0,2,19.2418814,2.058355165
CDCssbGFPmcherry01_102_2,1,-1,3,46,439,697,46,430.5,677,46,430.5,677,46,430.5,677,46,0,0,2,21.73131381,2.324656362
CDCssbGFPmcherry01_102_2,1,-1,3,49,422,696,49,442.33334,681,49,442.33334,681,49,442.33334,681,49,0,0,2,25.26746358,2.702927696
CDCssbGFPmcherry01_102_2,1,-1,3,52,431,717,52,455.66666,705,52,442.33334,711.3333,52,455.66666,705,52,0,0,2,27.43071482,2.934336427
CDCssbGFPmcherry01_102_2,1,-1,3,55,452,717.6667,55,432.33334,701.3333,55,441,709.3333,55,432.33334,701.3333,55,0,0,2,25.56477012,2.734731366
CDCssbGFPmcherry01_102_2,1,-1,3,58,462,691.6667,58,475.33334,718.6667,58,475.33334,718.6667,58,475.33334,718.6667,58,0,0,2,30.11275403,3.221241286
CDCssbGFPmcherry01_102_2,1,-1,3,61,448.33334,705.3333,61,436,678,61,436,678,61,436,678,61,0,0,2,29.98700659,3.207789748
CDCssbGFPmcherry01_102_2,1,-1,3,64,435.33334,713,64,426.33334,682,64,426.33334,682,64,426.33334,682,64,0,0,2,32.28002478,3.453079995
CDCssbGFPmcherry01_102_2,1,-1,3,67,441.66666,687.3333,67,429,714.3333,67,429,714.3333,67,429,714.3333,67,0,0,2,29.82355236,3.190304615
CDCssbGFPmcherry01_102_2,1,-1,3,70,431.66666,635.6667,70,414.33334,656.3333,70,423,642.3333,70,414.33334,656.3333,70,0,0,2,26.97317812,2.885392511
CDCssbGFPmcherry01_102_2,1,-1,3,73,430,638.6667,73,413.66666,655.3333,73,421.66666,644,73,418.33334,646.6667,73,0,0,2,23.33567122,2.496278736
CDCssbGFPmcherry01_102_2,1,-1,3,76,432.66666,635,76,416.66666,658,76,416.66666,658,76,416.66666,658,76,0,0,2,28.01785145,2.997143992
